Vertices,Edges_Prob,Max_Weight,Ops_Count,Tested_Solutions,Search_Time
5,0.125,39,32,32,6.198883056640625e-05
5,0.25,40,33,32,2.2172927856445312e-05
5,0.5,61,49,32,3.5762786865234375e-05
5,0.75,61,77,32,3.790855407714844e-05
6,0.125,35,71,64,2.9087066650390625e-05
6,0.25,46,76,64,2.8371810913085938e-05
6,0.5,68,116,64,3.62396240234375e-05
6,0.75,89,179,64,5.9604644775390625e-05
7,0.125,59,129,128,4.601478576660156e-05
7,0.25,59,148,128,5.14984130859375e-05
7,0.5,80,183,128,6.842613220214844e-05
7,0.75,85,295,128,9.202957153320312e-05
8,0.125,59,260,256,8.034706115722656e-05
8,0.25,80,332,256,8.654594421386719e-05
8,0.5,99,513,256,0.00010347366333007812
8,0.75,117,767,256,0.00014972686767578125
9,0.125,73,658,512,0.00015234947204589844
9,0.25,94,691,512,0.0001583099365234375
9,0.5,114,859,512,0.00019049644470214844
9,0.75,135,1617,512,0.00032258033752441406
10,0.125,55,1123,1024,0.0003261566162109375
10,0.25,88,1165,1024,0.0003523826599121094
10,0.5,114,1593,1024,0.0003802776336669922
10,0.75,141,2327,1024,0.0005145072937011719
11,0.125,76,2098,2048,0.0006008148193359375
11,0.25,88,2183,2048,0.0006394386291503906
11,0.5,114,3488,2048,0.0007646083831787109
11,0.75,164,5903,2048,0.00104522705078125
12,0.125,88,4284,4096,0.001085519790649414
12,0.25,95,5020,4096,0.0013570785522460938
12,0.5,114,6755,4096,0.0014328956604003906
12,0.75,177,10899,4096,0.0020008087158203125
13,0.125,80,8424,8192,0.0022935867309570312
13,0.25,80,10252,8192,0.002443552017211914
13,0.5,119,14257,8192,0.002856731414794922
13,0.75,157,27591,8192,0.004268169403076172
14,0.125,80,17434,16384,0.0043637752532958984
14,0.25,89,20155,16384,0.004561662673950195
14,0.5,104,27080,16384,0.005085945129394531
14,0.75,197,47015,16384,0.007575273513793945
15,0.125,66,37858,32768,0.009674310684204102
15,0.25,94,39769,32768,0.009599685668945312
15,0.5,119,49652,32768,0.010715484619140625
15,0.75,179,103643,32768,0.014165878295898438
16,0.125,91,74520,65536,0.016558170318603516
16,0.25,97,80935,65536,0.016973257064819336
16,0.5,133,106750,65536,0.01869368553161621
16,0.75,226,231182,65536,0.029085874557495117
17,0.125,123,135422,131072,0.03220319747924805
17,0.25,123,154196,131072,0.03343987464904785
17,0.5,152,249037,131072,0.0402064323425293
17,0.75,219,651830,131072,0.07384681701660156
18,0.125,76,324860,262144,0.1052405834197998
18,0.25,129,374774,262144,0.07216906547546387
18,0.5,155,563109,262144,0.11754417419433594
18,0.75,185,1559149,262144,0.15626811981201172
19,0.125,74,575179,524288,0.1306774616241455
19,0.25,100,635899,524288,0.13762831687927246
19,0.5,132,810605,524288,0.1523113250732422
19,0.75,191,1917335,524288,0.22462892532348633
20,0.125,85,1337257,1048576,0.2733583450317383
20,0.25,90,1364604,1048576,0.2760798931121826
20,0.5,154,2224386,1048576,0.3341221809387207
20,0.75,195,5988555,1048576,0.5951628684997559
21,0.125,85,2682503,2097152,0.5479953289031982
21,0.25,85,2762054,2097152,0.5552067756652832
21,0.5,140,4284363,2097152,0.6586735248565674
21,0.75,205,12270373,2097152,1.2095441818237305
22,0.125,83,4898016,4194304,1.0778837203979492
22,0.25,104,5563088,4194304,1.1977667808532715
22,0.5,169,10006738,4194304,1.42299485206604
22,0.75,234,26046084,4194304,2.569892168045044
23,0.125,97,9166892,8388608,2.27392578125
23,0.25,123,9799291,8388608,2.2637646198272705
23,0.5,172,16379518,8388608,2.6402649879455566
23,0.75,243,46126944,8388608,4.62824821472168
24,0.125,87,19189783,16777216,4.428030967712402
24,0.25,123,20361445,16777216,4.5045740604400635
24,0.5,149,27549982,16777216,6.431817531585693
24,0.75,216,74432898,16777216,9.480057716369629
25,0.125,96,39047189,33554432,12.26106333732605
25,0.25,107,40908765,33554432,10.578881978988647
25,0.5,176,65618107,33554432,13.806097269058228
25,0.75,233,160557562,33554432,19.577632427215576
26,0.125,118,76159019,67108864,18.08478617668152
26,0.25,123,81477375,67108864,19.052739143371582
26,0.5,172,104562872,67108864,20.61185336112976
26,0.75,255,223310527,67108864,28.317121744155884
27,0.125,104,167768773,134217728,37.30586242675781
27,0.25,104,211964631,134217728,41.82113599777222
27,0.5,155,243466935,134217728,47.98881673812866
27,0.75,246,523859540,134217728,61.54388689994812
28,0.125,102,321597879,268435456,74.21579146385193
28,0.25,104,328499099,268435456,78.5313789844513
28,0.5,172,639009648,268435456,98.19811129570007
28,0.75,295,1227052582,268435456,139.9465012550354
