Graph,Edges_Prob,Backtracking Weight,Greedy Weight,Delta,Accuracy (%)
5,0.125,41,41,0,100.0
5,0.25,44,44,0,100.0
5,0.5,68,68,0,100.0
5,0.75,68,68,0,100.0
6,0.125,44,44,0,100.0
6,0.25,44,44,0,100.0
6,0.5,77,77,0,100.0
6,0.75,80,80,0,100.0
7,0.125,53,53,0,100.0
7,0.25,57,57,0,100.0
7,0.5,60,60,0,100.0
7,0.75,68,68,0,100.0
8,0.125,59,59,0,100.0
8,0.25,69,69,0,100.0
8,0.5,71,71,0,100.0
8,0.75,84,84,0,100.0
9,0.125,57,57,0,100.0
9,0.25,60,60,0,100.0
9,0.5,77,77,0,100.0
9,0.75,88,88,0,100.0
10,0.125,41,41,0,100.0
10,0.25,69,69,0,100.0
10,0.5,81,81,0,100.0
10,0.75,102,102,0,100.0
11,0.125,41,41,0,100.0
11,0.25,54,54,0,100.0
11,0.5,70,70,0,100.0
11,0.75,113,113,0,100.0
12,0.125,41,41,0,100.0
12,0.25,65,65,0,100.0
12,0.5,96,96,0,100.0
12,0.75,142,142,0,100.0
13,0.125,45,45,0,100.0
13,0.25,74,74,0,100.0
13,0.5,103,103,0,100.0
13,0.75,121,121,0,100.0
14,0.125,46,46,0,100.0
14,0.25,92,92,0,100.0
14,0.5,114,114,0,100.0
14,0.75,154,154,0,100.0
15,0.125,46,46,0,100.0
15,0.25,79,79,0,100.0
15,0.5,95,95,0,100.0
15,0.75,141,141,0,100.0
16,0.125,52,52,0,100.0
16,0.25,77,77,0,100.0
16,0.5,105,105,0,100.0
16,0.75,122,122,0,100.0
17,0.125,64,64,0,100.0
17,0.25,79,79,0,100.0
17,0.5,118,118,0,100.0
17,0.75,177,177,0,100.0
18,0.125,64,64,0,100.0
18,0.25,64,64,0,100.0
18,0.5,96,96,0,100.0
18,0.75,165,165,0,100.0
19,0.125,65,65,0,100.0
19,0.25,72,72,0,100.0
19,0.5,109,109,0,100.0
19,0.75,171,171,0,100.0
20,0.125,65,65,0,100.0
20,0.25,79,79,0,100.0
20,0.5,133,133,0,100.0
20,0.75,185,185,0,100.0
21,0.125,64,64,0,100.0
21,0.25,64,64,0,100.0
21,0.5,132,132,0,100.0
21,0.75,190,190,0,100.0
22,0.125,64,64,0,100.0
22,0.25,69,69,0,100.0
22,0.5,120,120,0,100.0
22,0.75,161,161,0,100.0
23,0.125,64,64,0,100.0
23,0.25,66,66,0,100.0
23,0.5,135,135,0,100.0
23,0.75,194,194,0,100.0
24,0.125,64,64,0,100.0
24,0.25,79,79,0,100.0
24,0.5,125,125,0,100.0
24,0.75,213,213,0,100.0
25,0.125,78,78,0,100.0
25,0.25,87,87,0,100.0
25,0.5,153,153,0,100.0
25,0.75,254,254,0,100.0
26,0.125,85,85,0,100.0
26,0.25,97,97,0,100.0
26,0.5,181,181,0,100.0
26,0.75,233,233,0,100.0
27,0.125,81,81,0,100.0
27,0.25,103,103,0,100.0
27,0.5,122,122,0,100.0
27,0.75,225,225,0,100.0
28,0.125,111,111,0,100.0
28,0.25,111,111,0,100.0
28,0.5,155,155,0,100.0
28,0.75,230,230,0,100.0
29,0.125,93,93,0,100.0
29,0.25,124,124,0,100.0
29,0.5,169,169,0,100.0
29,0.75,277,277,0,100.0
30,0.125,116,116,0,100.0
30,0.25,128,128,0,100.0
30,0.5,201,201,0,100.0
30,0.75,241,241,0,100.0
31,0.125,103,103,0,100.0
31,0.25,111,111,0,100.0
31,0.5,166,164,2,98.79518072289156
31,0.75,267,267,0,100.0
32,0.125,103,103,0,100.0
32,0.25,106,106,0,100.0
32,0.5,181,181,0,100.0
32,0.75,267,267,0,100.0
33,0.125,96,96,0,100.0
33,0.25,134,134,0,100.0
33,0.5,187,180,7,96.2566844919786
33,0.75,333,333,0,100.0
34,0.125,94,94,0,100.0
34,0.25,122,122,0,100.0
34,0.5,192,192,0,100.0
34,0.75,350,350,0,100.0
35,0.125,99,99,0,100.0
35,0.25,122,122,0,100.0
35,0.5,251,251,0,100.0
35,0.75,322,322,0,100.0
36,0.125,94,94,0,100.0
36,0.25,136,136,0,100.0
36,0.5,189,189,0,100.0
36,0.75,321,321,0,100.0
37,0.125,99,99,0,100.0
37,0.25,166,166,0,100.0
37,0.5,228,216,12,94.73684210526315
37,0.75,323,323,0,100.0
38,0.125,106,106,0,100.0
38,0.25,166,166,0,100.0
38,0.5,204,204,0,100.0
38,0.75,348,348,0,100.0
39,0.125,99,99,0,100.0
39,0.25,154,154,0,100.0
39,0.5,208,199,9,95.67307692307693
39,0.75,371,360,11,97.03504043126685
40,0.125,125,125,0,100.0
40,0.25,147,143,4,97.27891156462584
40,0.5,222,222,0,100.0
40,0.75,404,354,50,87.62376237623762
41,0.125,125,125,0,100.0
41,0.25,173,173,0,100.0
41,0.5,220,205,15,93.18181818181817
41,0.75,362,356,6,98.34254143646409
42,0.125,111,111,0,100.0
42,0.25,156,146,10,93.58974358974359
42,0.5,248,246,2,99.19354838709677
42,0.75,377,377,0,100.0
43,0.125,111,111,0,100.0
43,0.25,154,154,0,100.0
43,0.5,214,214,0,100.0
43,0.75,403,403,0,100.0
44,0.125,130,130,0,100.0
44,0.25,168,168,0,100.0
44,0.5,219,219,0,100.0
44,0.75,369,352,17,95.39295392953929
45,0.125,125,125,0,100.0
45,0.25,162,162,0,100.0
45,0.5,248,248,0,100.0
45,0.75,364,354,10,97.25274725274726
46,0.125,123,123,0,100.0
46,0.25,201,201,0,100.0
46,0.5,272,249,23,91.54411764705883
46,0.75,396,390,6,98.48484848484848
47,0.125,107,107,0,100.0
47,0.25,168,168,0,100.0
47,0.5,288,283,5,98.26388888888889
47,0.75,433,433,0,100.0
48,0.125,113,113,0,100.0
48,0.25,144,144,0,100.0
48,0.5,240,240,0,100.0
48,0.75,366,356,10,97.26775956284153
49,0.125,126,126,0,100.0
49,0.25,164,164,0,100.0
49,0.5,257,252,5,98.0544747081712
49,0.75,371,340,31,91.64420485175202
50,0.125,152,152,0,100.0
50,0.25,152,152,0,100.0
50,0.5,224,221,3,98.66071428571429
50,0.75,395,395,0,100.0
51,0.125,135,135,0,100.0
51,0.25,173,173,0,100.0
51,0.5,261,261,0,100.0
51,0.75,416,388,28,93.26923076923077
52,0.125,133,133,0,100.0
52,0.25,173,161,12,93.0635838150289
52,0.5,244,230,14,94.26229508196722
52,0.75,423,412,11,97.39952718676122
53,0.125,130,130,0,100.0
53,0.25,170,170,0,100.0
53,0.5,247,244,3,98.78542510121457
53,0.75,422,405,17,95.97156398104265
54,0.125,122,122,0,100.0
54,0.25,162,162,0,100.0
54,0.5,250,226,24,90.4
54,0.75,390,375,15,96.15384615384616
55,0.125,130,130,0,100.0
55,0.25,157,157,0,100.0
55,0.5,244,223,21,91.39344262295081
55,0.75,413,405,8,98.06295399515739
56,0.125,125,125,0,100.0
56,0.25,175,159,16,90.85714285714286
56,0.5,248,248,0,100.0
56,0.75,420,392,28,93.33333333333333
57,0.125,130,130,0,100.0
57,0.25,175,161,14,92.0
57,0.5,296,260,36,87.83783783783784
57,0.75,439,410,29,93.39407744874715
58,0.125,142,130,12,91.54929577464789
58,0.25,168,168,0,100.0
58,0.5,357,328,29,91.87675070028011
58,0.75,451,415,36,92.01773835920177
59,0.125,135,135,0,100.0
59,0.25,173,173,0,100.0
59,0.5,273,273,0,100.0
59,0.75,401,401,0,100.0
60,0.125,135,135,0,100.0
60,0.25,175,175,0,100.0
60,0.5,288,288,0,100.0
60,0.75,453,402,51,88.74172185430463
61,0.125,138,138,0,100.0
61,0.25,225,225,0,100.0
61,0.5,322,297,25,92.2360248447205
61,0.75,445,445,0,100.0
62,0.125,141,141,0,100.0
62,0.25,189,189,0,100.0
62,0.5,277,276,1,99.63898916967509
62,0.75,417,379,38,90.88729016786571
63,0.125,149,149,0,100.0
63,0.25,211,211,0,100.0
63,0.5,274,274,0,100.0
63,0.75,455,441,14,96.92307692307692
64,0.125,135,135,0,100.0
64,0.25,164,163,1,99.39024390243902
64,0.5,326,326,0,100.0
64,0.75,477,450,27,94.33962264150944
65,0.125,125,125,0,100.0
65,0.25,159,156,3,98.11320754716981
65,0.5,283,283,0,100.0
65,0.75,495,495,0,100.0
66,0.125,147,147,0,100.0
66,0.25,182,169,13,92.85714285714286
66,0.5,272,272,0,100.0
66,0.75,476,476,0,100.0
67,0.125,125,125,0,100.0
67,0.25,158,158,0,100.0
67,0.5,256,247,9,96.484375
67,0.75,455,446,9,98.02197802197801
68,0.125,129,125,4,96.89922480620154
68,0.25,178,178,0,100.0
68,0.5,284,279,5,98.23943661971832
68,0.75,472,472,0,100.0
69,0.125,125,125,0,100.0
69,0.25,176,176,0,100.0
69,0.5,288,272,16,94.44444444444444
69,0.75,421,406,15,96.43705463182897
70,0.125,124,124,0,100.0
70,0.25,176,159,17,90.3409090909091
70,0.5,284,284,0,100.0
70,0.75,497,490,7,98.59154929577466
71,0.125,143,143,0,100.0
71,0.25,185,185,0,100.0
71,0.5,309,309,0,100.0
71,0.75,532,532,0,100.0
72,0.125,128,128,0,100.0
72,0.25,175,175,0,100.0
72,0.5,258,239,19,92.63565891472868
72,0.75,444,425,19,95.72072072072072
73,0.125,165,165,0,100.0
73,0.25,203,203,0,100.0
73,0.5,295,263,32,89.15254237288136
73,0.75,465,465,0,100.0
74,0.125,142,142,0,100.0
74,0.25,177,177,0,100.0
74,0.5,290,282,8,97.24137931034483
74,0.75,477,477,0,100.0
75,0.125,132,132,0,100.0
75,0.25,189,189,0,100.0
75,0.5,288,288,0,100.0
75,0.75,491,491,0,100.0
76,0.125,144,144,0,100.0
76,0.25,180,180,0,100.0
76,0.5,290,290,0,100.0
76,0.75,502,496,6,98.80478087649402
77,0.125,161,161,0,100.0
77,0.25,175,173,2,98.85714285714286
77,0.5,302,302,0,100.0
77,0.75,520,520,0,100.0
78,0.125,140,140,0,100.0
78,0.25,175,175,0,100.0
78,0.5,292,289,3,98.97260273972603
78,0.75,485,482,3,99.38144329896907
79,0.125,160,154,6,96.25
79,0.25,191,173,18,90.57591623036649
79,0.5,306,283,23,92.48366013071896
79,0.75,485,465,20,95.87628865979381
80,0.125,130,130,0,100.0
80,0.25,192,192,0,100.0
80,0.5,291,265,26,91.06529209621993
80,0.75,538,538,0,100.0
81,0.125,144,128,16,88.88888888888889
81,0.25,176,173,3,98.29545454545455
81,0.5,301,301,0,100.0
81,0.75,535,535,0,100.0
82,0.125,141,140,1,99.29078014184397
82,0.25,179,164,15,91.62011173184358
82,0.5,299,297,2,99.33110367892976
82,0.75,505,482,23,95.44554455445544
83,0.125,136,136,0,100.0
83,0.25,197,197,0,100.0
83,0.5,310,303,7,97.74193548387096
83,0.75,528,485,43,91.85606060606061
84,0.125,133,133,0,100.0
84,0.25,196,196,0,100.0
84,0.5,276,276,0,100.0
84,0.75,519,500,19,96.33911368015414
85,0.125,159,133,26,83.64779874213836
85,0.25,176,176,0,100.0
85,0.5,315,296,19,93.96825396825396
85,0.75,538,525,13,97.58364312267658
86,0.125,174,174,0,100.0
86,0.25,199,199,0,100.0
86,0.5,293,272,21,92.83276450511946
86,0.75,506,471,35,93.08300395256917
87,0.125,139,139,0,100.0
87,0.25,165,165,0,100.0
87,0.5,313,292,21,93.29073482428115
87,0.75,554,554,0,100.0
88,0.125,128,128,0,100.0
88,0.25,193,193,0,100.0
88,0.5,315,315,0,100.0
88,0.75,519,501,18,96.53179190751445
89,0.125,131,131,0,100.0
89,0.25,182,182,0,100.0
89,0.5,293,293,0,100.0
89,0.75,545,539,6,98.89908256880734
90,0.125,161,161,0,100.0
90,0.25,187,181,6,96.79144385026738
90,0.5,346,346,0,100.0
90,0.75,533,514,19,96.43527204502814
91,0.125,160,160,0,100.0
91,0.25,199,199,0,100.0
91,0.5,343,343,0,100.0
91,0.75,523,477,46,91.20458891013385
92,0.125,152,152,0,100.0
92,0.25,189,189,0,100.0
92,0.5,282,279,3,98.93617021276596
92,0.75,534,494,40,92.50936329588015
93,0.125,152,139,13,91.44736842105263
93,0.25,192,192,0,100.0
93,0.5,305,297,8,97.37704918032787
93,0.75,548,524,24,95.62043795620438
94,0.125,174,174,0,100.0
94,0.25,179,174,5,97.20670391061452
94,0.5,329,329,0,100.0
94,0.75,554,535,19,96.57039711191335
95,0.125,153,139,14,90.84967320261438
95,0.25,195,195,0,100.0
95,0.5,319,319,0,100.0
95,0.75,522,520,2,99.61685823754789
96,0.125,133,133,0,100.0
96,0.25,187,187,0,100.0
96,0.5,287,277,10,96.51567944250871
96,0.75,523,512,11,97.89674952198853
97,0.125,179,179,0,100.0
97,0.25,204,204,0,100.0
97,0.5,316,316,0,100.0
97,0.75,548,543,5,99.08759124087592
98,0.125,145,145,0,100.0
98,0.25,181,165,16,91.16022099447514
98,0.5,327,321,6,98.1651376146789
98,0.75,546,494,52,90.47619047619048
99,0.125,158,158,0,100.0
99,0.25,186,186,0,100.0
99,0.5,302,302,0,100.0
99,0.75,540,539,1,99.81481481481481
100,0.125,139,139,0,100.0
100,0.25,181,178,3,98.34254143646409
100,0.5,328,319,9,97.2560975609756
100,0.75,545,545,0,100.0
101,0.125,144,139,5,96.52777777777779
101,0.25,193,193,0,100.0
101,0.5,328,321,7,97.86585365853658
101,0.75,543,498,45,91.71270718232044
102,0.125,168,168,0,100.0
102,0.25,214,214,0,100.0
102,0.5,318,297,21,93.39622641509435
102,0.75,572,572,0,100.0
103,0.125,174,174,0,100.0
103,0.25,192,192,0,100.0
103,0.5,307,303,4,98.69706840390879
103,0.75,608,548,60,90.13157894736842
104,0.125,136,135,1,99.26470588235294
104,0.25,181,181,0,100.0
104,0.5,340,325,15,95.58823529411765
104,0.75,529,506,23,95.65217391304348
105,0.125,156,156,0,100.0
105,0.25,188,188,0,100.0
105,0.5,356,356,0,100.0
105,0.75,547,516,31,94.3327239488117
106,0.125,153,136,17,88.88888888888889
106,0.25,213,213,0,100.0
106,0.5,315,315,0,100.0
106,0.75,563,555,8,98.57904085257549
107,0.125,151,151,0,100.0
107,0.25,221,221,0,100.0
107,0.5,358,358,0,100.0
107,0.75,588,572,16,97.27891156462584
108,0.125,174,174,0,100.0
108,0.25,186,186,0,100.0
108,0.5,366,366,0,100.0
108,0.75,595,571,24,95.96638655462185
109,0.125,142,139,3,97.88732394366197
109,0.25,199,199,0,100.0
109,0.5,328,308,20,93.90243902439023
109,0.75,547,547,0,100.0
110,0.125,147,142,5,96.5986394557823
110,0.25,186,186,0,100.0
110,0.5,357,329,28,92.15686274509804
110,0.75,554,554,0,100.0
111,0.125,152,152,0,100.0
111,0.25,207,203,4,98.06763285024155
111,0.5,321,301,20,93.76947040498442
111,0.75,571,533,38,93.34500875656742
112,0.125,156,156,0,100.0
112,0.25,221,221,0,100.0
112,0.5,369,369,0,100.0
112,0.75,635,635,0,100.0
113,0.125,136,136,0,100.0
113,0.25,228,228,0,100.0
113,0.5,342,342,0,100.0
113,0.75,597,583,14,97.65494137353434
114,0.125,180,180,0,100.0
114,0.25,199,199,0,100.0
114,0.5,331,297,34,89.72809667673715
114,0.75,560,555,5,99.10714285714286
115,0.125,173,173,0,100.0
115,0.25,201,190,11,94.5273631840796
115,0.5,314,299,15,95.22292993630573
115,0.75,566,553,13,97.70318021201413
116,0.125,180,180,0,100.0
116,0.25,204,204,0,100.0
116,0.5,369,369,0,100.0
116,0.75,601,591,10,98.33610648918469
117,0.125,143,143,0,100.0
117,0.25,201,201,0,100.0
117,0.5,302,290,12,96.02649006622516
117,0.75,572,565,7,98.77622377622379
118,0.125,168,168,0,100.0
118,0.25,208,203,5,97.59615384615384
118,0.5,336,336,0,100.0
118,0.75,634,580,54,91.48264984227129
119,0.125,174,174,0,100.0
119,0.25,201,186,15,92.53731343283582
119,0.5,324,323,1,99.69135802469135
119,0.75,561,542,19,96.6131907308378
120,0.125,157,157,0,100.0
120,0.25,210,210,0,100.0
120,0.5,323,323,0,100.0
120,0.75,560,553,7,98.75
121,0.125,163,163,0,100.0
121,0.25,251,251,0,100.0
121,0.5,339,307,32,90.56047197640117
121,0.75,608,545,63,89.63815789473685
122,0.125,155,155,0,100.0
122,0.25,215,215,0,100.0
122,0.5,347,337,10,97.11815561959655
122,0.75,585,549,36,93.84615384615384
123,0.125,174,174,0,100.0
123,0.25,215,215,0,100.0
123,0.5,345,344,1,99.71014492753623
123,0.75,602,597,5,99.16943521594685
124,0.125,182,182,0,100.0
124,0.25,219,219,0,100.0
124,0.5,330,317,13,96.06060606060606
124,0.75,635,613,22,96.53543307086613
125,0.125,162,162,0,100.0
125,0.25,213,213,0,100.0
125,0.5,320,320,0,100.0
125,0.75,643,637,6,99.06687402799378
126,0.125,163,163,0,100.0
126,0.25,203,203,0,100.0
126,0.5,343,340,3,99.12536443148689
126,0.75,660,634,26,96.06060606060606
127,0.125,151,143,8,94.70198675496688
127,0.25,203,203,0,100.0
127,0.5,334,334,0,100.0
127,0.75,585,568,17,97.09401709401709
128,0.125,170,170,0,100.0
128,0.25,222,222,0,100.0
128,0.5,362,347,15,95.85635359116023
128,0.75,642,610,32,95.01557632398755
129,0.125,152,137,15,90.13157894736842
129,0.25,220,204,16,92.72727272727272
129,0.5,331,330,1,99.69788519637463
129,0.75,597,543,54,90.95477386934674
130,0.125,164,164,0,100.0
130,0.25,205,205,0,100.0
130,0.5,358,357,1,99.72067039106145
130,0.75,618,534,84,86.40776699029125
131,0.125,164,164,0,100.0
131,0.25,209,209,0,100.0
131,0.5,344,335,9,97.38372093023256
131,0.75,571,549,22,96.14711033274956
132,0.125,184,184,0,100.0
132,0.25,200,200,0,100.0
132,0.5,343,343,0,100.0
132,0.75,596,547,49,91.77852348993288
133,0.125,150,150,0,100.0
133,0.25,222,221,1,99.54954954954955
133,0.5,332,332,0,100.0
133,0.75,593,562,31,94.77234401349072
134,0.125,174,174,0,100.0
134,0.25,212,212,0,100.0
134,0.5,354,309,45,87.28813559322035
134,0.75,631,553,78,87.63866877971473
135,0.125,168,168,0,100.0
135,0.25,227,227,0,100.0
135,0.5,343,332,11,96.7930029154519
135,0.75,634,590,44,93.05993690851734
136,0.125,149,147,2,98.65771812080537
136,0.25,211,211,0,100.0
136,0.5,359,326,33,90.80779944289694
136,0.75,630,564,66,89.52380952380953
137,0.125,184,184,0,100.0
137,0.25,223,206,17,92.37668161434978
137,0.5,354,333,21,94.0677966101695
137,0.75,650,614,36,94.46153846153847
138,0.125,174,174,0,100.0
138,0.25,225,225,0,100.0
138,0.5,335,332,3,99.1044776119403
138,0.75,629,614,15,97.61526232114467
139,0.125,147,147,0,100.0
139,0.25,215,215,0,100.0
139,0.5,328,319,9,97.2560975609756
139,0.75,563,547,16,97.15808170515098
140,0.125,178,156,22,87.64044943820225
140,0.25,215,215,0,100.0
140,0.5,360,360,0,100.0
140,0.75,586,564,22,96.24573378839591
141,0.125,162,153,9,94.44444444444444
141,0.25,210,197,13,93.80952380952381
141,0.5,324,321,3,99.07407407407408
141,0.75,592,551,41,93.07432432432432
142,0.125,174,174,0,100.0
142,0.25,224,224,0,100.0
142,0.5,351,347,4,98.86039886039886
142,0.75,642,625,17,97.35202492211839
143,0.125,153,153,0,100.0
143,0.25,214,210,4,98.13084112149532
143,0.5,345,316,29,91.59420289855072
143,0.75,593,589,4,99.32546374367622
144,0.125,162,162,0,100.0
144,0.25,197,192,5,97.46192893401016
144,0.5,338,318,20,94.0828402366864
144,0.75,634,597,37,94.1640378548896
145,0.125,162,162,0,100.0
145,0.25,207,207,0,100.0
145,0.5,333,328,5,98.49849849849849
145,0.75,599,541,58,90.31719532554257
146,0.125,156,156,0,100.0
146,0.25,248,248,0,100.0
146,0.5,368,334,34,90.76086956521739
146,0.75,592,582,10,98.3108108108108
147,0.125,164,164,0,100.0
147,0.25,220,198,22,90.0
147,0.5,359,359,0,100.0
147,0.75,623,621,2,99.67897271268058
148,0.125,172,172,0,100.0
148,0.25,225,225,0,100.0
148,0.5,328,321,7,97.86585365853658
148,0.75,638,572,66,89.65517241379311
149,0.125,166,166,0,100.0
149,0.25,214,214,0,100.0
149,0.5,360,329,31,91.38888888888889
149,0.75,615,583,32,94.79674796747967
150,0.125,150,150,0,100.0
150,0.25,221,221,0,100.0
150,0.5,368,368,0,100.0
150,0.75,596,550,46,92.28187919463086
151,0.125,161,161,0,100.0
151,0.25,212,211,1,99.52830188679245
151,0.5,340,336,4,98.82352941176471
151,0.75,621,537,84,86.47342995169082
Total,,,,,98.25352690027383
